GEOID20,assignment
25027001003,0
25027001002,0
25027000565,0
25027001733,0
25027001735,0
25027001337,0
25027001734,0
25027001736,0
25027000690,0
25027001405,0
25027001457,0
25027001464,0
25027001451,0
25027001624,0
25027001000,0
25013001268,1
25013001266,1
25013001896,1
25013001461,1
25013002048,1
25027001932,1
25013001462,1
25013001460,1
25013001463,1
25013001775,1
25013002047,1
25013002046,1
25013001791,1
25013001076,1
25025002207,2
25017001375,2
25017001353,2
25025002213,2
25025002115,2
25021000497,2
25021000498,2
25025002208,2
25025002204,2
25025002112,2
25025002210,2
25017001373,2
25025002114,2
25025002116,2
25025002113,2
25025002209,2
25005000727,3
25005000723,3
25005000726,3
25005ZZZZZZ,3
25005000728,3
25007001982,3
25007000837,3
25007001450,3
25007001871,3
25007000054,3
25007000613,3
25007000707,3
25019001279,3
25019ZZZZZZ,3
25009001095,4
25009001092,4
25009001833,4
25009001835,4
25009001094,4
25009001633,4
25009001634,4
25009001144,4
25009001629,4
25009001626,4
25009001630,4
25009001093,4
25009001637,4
25009001638,4
25009001658,5
25017001203,5
25017001808,5
25017001807,5
25017001889,5
25017001890,5
25009001649,5
25017001891,5
25017001893,5
25017001894,5
25017001892,5
25009001654,5
25009001656,5
25023000683,6
25023001664,6
25023001660,6
25023000681,6
25023001161,6
25023001162,6
25023001165,6
25023001164,6
25023001163,6
25023001439,6
25023001513,6
25023001663,6
25023001665,6
25027000084,7
25027001493,7
25027001620,7
25027001494,7
25027001619,7
25011001452,7
25011001453,7
25011001933,7
25027001861,7
25027001862,7
25027000815,7
25027001860,7
25027000817,7
25027002059,7
25027002060,7
25027000086,7
25027000085,7
25013001079,8
25013001074,8
25013001075,8
25013001078,8
25013001796,8
25013001077,8
25013001770,8
25013002045,8
25013001797,8
25013001773,8
25013001798,8
25013001799,8
25013001772,8
25013001794,8
25013001771,8
25027002126,9
25027002136,9
25027002127,9
25027002134,9
25027002133,9
25027002140,9
25027002094,9
25027002129,9
25027002138,9
25027002137,9
25027002128,9
25009000156,10
25009000152,10
25009000153,10
25009000148,10
25009000149,10
25009000638,10
25009000633,10
25009000636,10
25009000635,10
25009001238,10
25009001237,10
25009001395,10
25005000740,11
25005000741,11
25005000745,11
25005000742,11
25005000752,11
25005000743,11
25005000733,11
25005000746,11
25005000737,11
25005000738,11
25005000734,11
25005000750,11
25005000739,11
25017001352,12
25017001359,12
25017001922,12
25017001363,12
25017001917,12
25017002010,12
25017001356,12
25017001357,12
25017001918,12
25017001919,12
25017001920,12
25017001360,12
25017001921,12
25017001358,12
25027001083,13
25017001875,13
25017001678,13
25017000860,13
25017001491,13
